id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency,roi.times,roi.currency,roi.percentage,is_roi_missing,price_spread_percentage,volume_mcap_ratio,is_suspicious,log_volume,log_mcap,ai_prediction,risk_score
basic-attention-token,bat,Basic Attention,https://coin-images.coingecko.com/coins/images/677/large/basic-attention-token.png?1696501867,-0.06337929063054383,145301628.0,-0.2834216272303446,145716955,12062692,0.098095,0.094725,0.00134136,1.40024,1555578.0,1.08217,1495724656.9526057,1500000000.0,1500000000.0,1.9,-94.88823,2021-11-28T00:23:51.354Z,0.072394,34.19929,2017-07-16T00:00:00.000Z,,2026-03-09T13:16:44.211Z,0.44544334253188245,1.4002357529083809,-5.545162853684505,-0.6904405053402338,eth,-69.04405053402338,1,-0.2959603560406339,0.0830182846745648,0,-0.8592190569134991,-0.043140056167134,0,4.4574324e-07
beldex,bdx,Beldex,https://coin-images.coingecko.com/coins/images/5111/large/Beldex.png?1696505631,-0.06337929098086725,606856408.0,-0.6368851341491765,792780628,12048696,0.08008,0.075853,0.00017749,0.22252,-175777.80405938625,-0.02896,7606088233.713198,9936385823.465578,1000000000.0,0.450785,-82.30578,2018-12-17T00:00:00.000Z,0.00027519,28885.12626,2019-11-01T11:05:12.090Z,,2026-03-09T13:16:52.374Z,0.39892634208519684,0.22251526977990185,-0.17136594547181955,-0.6802330854724578,usd,-68.02330854724578,1,-0.19636038877252718,0.019854278246569528,0,-0.8600617880373516,0.40384516804940535,0,1.7165719e-07
creator-3,crtr,CReaToR,https://coin-images.coingecko.com/coins/images/102172204/large/CRTR_200.png?1772169613,-0.06337929175802114,14752302.0,1.7363698408772663,84298870,12000518,0.04262334,0.03748434,0.00078,1.90166,386010.0,2.68692,350000000.0,2000000000.0,2000000000.0,0.064821,-34.57439,2026-03-04T00:35:16.424Z,0.02641905,60.52754,2026-02-27T05:24:18.300Z,,2026-03-09T13:16:48.795Z,-0.9580982205998293,1.9016629128176883,-17.071052901527253,0.7354250522657468,,73.54250522657468,1,0.20585991231247677,0.8134674294583022,0,-0.862970198672668,-0.7583926799061743,0,7.484005e-05
io,io,io.net,https://coin-images.coingecko.com/coins/images/37754/large/io_blackbg.png?1715446363,-0.06337929039459758,32435152.0,0.7853846913099327,86973704,11933655,0.109471,0.099862,0.00740969,7.31403,2178646.0,7.20059,298343307.7883141,799996944.330308,800000000.0,6.43,-98.30919,2024-06-12T21:14:55.143Z,0.092979,16.85216,2026-02-06T00:30:32.728Z,,2026-03-09T13:16:47.000Z,0.8520890448949339,7.3140314026216915,1.3393765248907958,0.7354250522657468,,73.54250522657468,1,0.003815819562125037,0.3679234995438437,0,-0.8670259920809485,-0.5120413192988008,0,1.5490531e-06
compound-governance-token,comp,Compound,https://coin-images.coingecko.com/coins/images/10775/large/COMP.png?1696510737,-0.06337895298225674,160761659.0,-0.31989008429339866,166278974,11924869,17.12,16.44,0.129161,0.78093,151723.0,0.09447,9668189.278360886,10000000.0,10000000.0,854.45,-98.05604,2021-05-12T00:00:00.000Z,15.21,9.17773,2026-02-06T00:25:49.827Z,,2026-03-09T13:16:50.633Z,0.7161520765324437,0.7809270840825683,-5.998938742133453,0.7354250522657468,,73.54250522657468,1,-0.2673606121943467,0.07417731939319362,0,-0.8675606240301594,-0.011523551947801242,0,1.4089788e-07
orca,orca,Orca,https://coin-images.coingecko.com/coins/images/17547/large/Orca_Logo.png?1696517083,-0.06337927347763271,55902957.0,0.27202102649924836,69695752,11883994,0.938428,0.876248,0.0380504,4.2231,1420678.0,2.6076,60157160.483385,74999583.451524,100000000.0,20.33,-95.4435,2021-10-02T20:14:11.766Z,0.351125,163.84766,2022-06-19T19:34:08.830Z,,2026-03-09T13:16:54.489Z,1.6942985177817904,4.2231000531078875,8.955786793752296,0.7354250522657468,,73.54250522657468,1,-0.12105100698317788,0.212582561373586,0,-0.8700530760032679,-0.34182048241699076,0,3.6819068e-07
aria-ai,aria,Aria.AI,https://coin-images.coingecko.com/coins/images/68392/large/aria.png?1755601564,-0.06337929044449243,19667947.0,1.405348461381852,107475119,11880937,0.108449,0.075709,0.02899007,37.51357,5527996.0,39.09487,183000000.0,1000000000.0,1000000000.0,0.245513,-56.45057,2025-10-01T02:22:59.214Z,0.03289452,225.0369,2025-08-25T07:17:07.527Z,,2026-03-09T13:16:48.454Z,12.133745697733284,37.513567230634884,59.04640738426411,0.7354250522657468,,73.54250522657468,1,1.665776993448928,0.6040760835853338,0,-0.8702398283834754,-0.6684656196762907,0,8.501165e-06
cow-protocol,cow,CoW Protocol,https://coin-images.coingecko.com/coins/images/24384/large/CoW-token_logo.png?1719524382,-0.06337928790898201,129436228.0,-0.2581742338789994,230714536,11859879,0.233917,0.211564,0.01443295,6.67306,8040432.0,6.62332,561023288.8526175,1000000000.0,1000000000.0,2.22,-89.57526,2022-03-28T16:24:17.921Z,0.03987045,480.25993,2022-11-09T18:32:42.225Z,,2026-03-09T13:16:44.238Z,-0.15626173558359122,6.673063199851945,8.413617779687616,0.7354250522657468,,73.54250522657468,1,0.050444427576777785,0.09162719813167611,0,-0.8715275703682384,-0.0792944366743063,0,1.9958478e-07
btse-token,btse,BTSE Token,https://coin-images.coingecko.com/coins/images/10807/large/BTSE_logo_Square.jpeg?1696510765,-0.06337925980813248,261512645.0,-0.47698497625732394,322732596,11851447,1.62,1.59,0.01363325,0.85368,2087376.0,0.80462,162061501.0,200000000.0,200000000.0,9.21,-82.48798,2022-03-23T09:11:07.549Z,0.06191,2506.47369,2025-10-10T22:48:11.249Z,,2026-03-09T13:16:53.803Z,-0.24275587417802064,0.853683276529962,2.206088459226234,-0.194687462708862,usd,-19.4687462708862,1,-0.3785523454644019,0.04531882943817562,0,-0.8720438464874134,0.140619152377911,0,1.1872036e-07
gunz,gun,Gunz,https://coin-images.coingecko.com/coins/images/55027/large/gunz.jpg?1743262298,-0.06337929224518749,29280148.0,0.9088163921387312,178274786,11840904,0.01885353,0.01772958,-0.000968422107705078,-5.13656,-1796126.086381372,-5.77973,1642416667.0,10000000000.0,10000000000.0,0.115004,-84.5653,2025-03-31T14:10:26.905Z,0.01064409,66.76414,2025-12-30T05:45:29.004Z,,2026-03-09T13:16:47.241Z,0.1464632373698834,-5.136557216830505,-30.699701492624943,0.7354250522657468,,73.54250522657468,1,-0.15845791748285554,0.40440040110451625,0,-0.8726898923348158,-0.5440399040982257,0,2.7087012e-06
